,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
7219,2018-12-13,回购大爆发！A股年内回购规模超前4年总和,证券时报网
7220,2018-12-13,家电板块全线拉升，美的集团大涨5%,Wind
7221,2018-12-13,家电股集体走强 美的集团涨超4%,e公司
7222,2018-12-13,东方红睿玺基金经理高位抓牛尾，投资僵化忽视风险,和讯
7223,2018-12-13,证券早报| 腾讯音乐上市首日涨近8% 科创板交易机制或有突破,腾讯网
7224,2018-12-13,回购大爆发！A股年内回购规模超前4年总和,证券时报
7225,2018-12-13,美的集团已耗资近30亿 回购6773万股票,证券时报
7226,2018-12-13,美的集团40亿元回购已完成70% 累计回购金额达29.4亿元,证券日报
7227,2018-12-12,美的集团已耗资超29亿元回购股份 占总股本1%,第一财经
7228,2018-12-12,美的集团：已累计回购6774万股 耗资29.4亿元,证券之星
7229,2018-12-12,公告精选：美的集团已耗资29.4亿元回购股份；天安财险前11月原保费收入138亿元,e公司
7230,2018-12-12,12日晚间公告精选丨 美的集团累计回购股份逾公司总股本1%,21世纪经济报道
7231,2018-12-12,[快讯]美的集团回购公司股份情况通报,中财网
7232,2018-12-12,美的集团：已出资29.4亿元回购公司股份,凤凰网
7233,2018-12-12,美的集团：截至12月12日 公司累计回购1.018%股份,我的钢铁
7234,2018-12-12,美的集团：已累计耗资29.4亿元回购股份,e公司
7235,2018-12-12,美的集团：回购公司股份达1%，花费资金29.4亿元,Wind
7236,2018-12-11,A股早报2018年12月11日星期二,Wind
7237,2018-12-10,深港通十大成交活跃股排名（12月10日）,Wind
7238,2018-12-10,惠誉：确认美的集团评级为A-，前景展望稳定,Wind
7239,2018-12-10,"家电行业:11月线上,整体量价趋弱,龙头份额环比提升",光大证券
7240,2018-12-09,【华创家电】白电线上略有回暖，小家电加速增长,月观家电
7241,2018-12-08,外资看好A股 这两个板块机会最大！,巨丰财经
7242,2018-12-08,年内逾2900亿元北上资金入场，中国平安等10只个股勇登“吸金榜”,Wind
7243,2018-12-08,年内逾2900亿元北上资金入场 10只个股勇登“吸金榜”,证券日报
7244,2018-12-07,机构跑路新姿势，10月以来净卖出逾60亿元，价值投资被弃？,Wind
7245,2018-12-07,A股国际化步伐再加速，逾七成MSCI成份股受机构青睐,证券日报
7246,2018-12-06,从“将就”到“讲究”看家电消费升级大趋势,长江家电研究团队
7247,2018-12-05,格力与美的估值偏低各有原因 现在买家电股要做好一年半载不挣钱准备,中金在线
7248,2018-12-05,深股通两年净买入逾2600亿 4只绩优蓝筹股最受宠,证券日报
7249,2018-12-04,放量上涨逾百亿元大单涌入A股，北上资金等三路资金现新动向,证券日报
7250,2018-12-04,"家电行业每周观点:出口预期有望改善,弹坑逻辑精选优质资产",光大证券
7251,2018-12-04,美的集团深度系列报告(二):从产品的角度看美的集团与小天鹅的合并,爱建证券
7252,2018-12-02,家用电器：关注前瞻化布局智能家居的家电龙头 荐4股,广发证券
7253,2018-12-01,海外机构11月调研68股,投资快报
7254,2018-11-30,北上资金11月青睐大消费和金融,大众证券报
7255,2018-11-30,美的集团：已累计投入28亿元回购股份,e公司
