4107,2018-06-20,带你走进零跑汽车-新能源&车身轻量化&新供应链（底盘）技术展示交流,盖世汽车社区
4108,2018-06-19,QFII喜爱业绩预增股，投资逻辑仍为改变,巨丰财经
4109,2018-06-17,智能网联汽车周报(6月第三周) | 2020年建成国家车联网产业标准体系，百度与宝马、现代、拜腾合作,汽车纵横杂志社
4110,2018-06-16,新势力起诉新势力，拜腾的大屏是抄的？| 造车新势力周报,汽车商业评论
4111,2018-06-15,联想双态IT轻咨询 给零跑汽车装上数字化转型的“加速器”,砍柴网
4112,2018-06-15,【热点】总投资75亿!华胜天成拟参与集成电路股权投资中心,元器件交易网
4113,2018-06-14,智能安防发展进入下半场太离谱，渗透率有2%都算高估,工业电器网
4114,2018-06-14,CES上海：零跑汽车发布首款量产车型S01 预约被抢空,TechWeb
4115,2018-06-14,智能驾驶真的来了 5分钟读懂2018CES Asia,腾讯网
4116,2018-06-14,零跑首款量产车型零跑S01启动预售，补贴前售20万元以内,盖世汽车
4117,2018-06-13,零跑发布首款国产AI自动驾驶芯片“凌芯01”，S01启动预约领号,第一电动网
4118,2018-06-13,[买入评级]电子行业动态周报：5月数据继续验证消费电子景气 维持Q2基本面拐点判断,中财网
4119,2018-06-13,我国首款国产AI自动驾驶芯片已进入集成验证阶段,e公司
4120,2018-06-13,零跑汽车发布国产AI自动驾驶芯片“凌芯01”，首款量产车型开启预约,金融界
4121,2018-06-13,零跑汽车首款量产车型零跑S01开启预约：定价少于20万元,IT之家
4122,2018-06-13,零跑汽车发布首款国产AI自动驾驶芯片“凌芯01”丨亚洲CES,凤凰网
4123,2018-06-13,零跑S01开启预约领号 新车对标宝马i3补贴前售价20万元内,盖世汽车
4124,2018-06-13,零跑汽车AI自动驾驶芯片定名“凌芯01”，S01车型售价20万内,车云
4125,2018-06-11,[增持评级]计算机行业跟踪周报：从计算机的两类公司看目前的现状和机会,中财网
4126,2018-06-11,大华股份多维大数据 构筑全息感知平安城市,Ofweek
4127,2018-06-11,【国盛计算机团队】蚂蚁金服融资估值1500亿美元，关注“线下蚂蚁金服”-20180610,微信
4128,2018-06-11,“A股十年”系列报道 | 中兴通讯生不如死？ A股“双料大王”海康威视或受牵连,投资者报
4129,2018-06-09,逾7亿元大单抢筹MSCI成份股 6股投资正当时,证券日报
4130,2018-06-09,世界杯临近 食品饮料等三类消费股闻“机”起舞,证券日报
4131,2018-06-09,入摩6日北上资金逾200亿扫货 三维度挖掘A股新机遇,证券日报
