971,2020-08-25,房企业绩观察 | 绿地控股上半年房地产收入966亿元 张玉良：年初目标不变、指标不减,华夏时报
972,2020-08-25,绿地控股上半年归母净利润80.2亿元 回款率高达95%,中国网
973,2020-08-25,年中看数据丨绿地上半年业绩逐季改善张玉良：有信心保持年初目标不变,新华网
974,2020-08-25,上周重点监测房企共拿地61宗 总出让金约741.01亿元,中指院
975,2020-08-25,保利与绿地齐发半年报 二季度销售收入明显回升,上证报
976,2020-08-24,绿地控股(600606.SH)拟向格林兰借款不超35亿元,格隆汇
977,2020-08-24,绿地控股：上半年净利润已超上年全年的5成,中证网
978,2020-08-24,绿地上半年收入2098亿元，张玉良：有信心完成全年目标,澎湃新闻
979,2020-08-24,绿地控股张玉良：有信心保持年初目标不变,证券时报
980,2020-08-24,绿地上半年业绩逐季改善趋势向好 归母净利润已超去年全年5成,搜狐
981,2020-08-24,数读半年报|绿地控股：销售额同比降20.69%至1330亿元 盈利能力下降,中国网
982,2020-08-24,防疫抗疫、复工复产、企业发展等均取得良好成效,和讯
